travel_distance_m,worst_posterior_diameter_m,normalized_distance,normalized_log_loss,knee_score,selected_knee,x_m,y_m
5.000000000000066,1495.2292561363988,0.0,1.0,0.0,False,4.045084971874767,2.9389262614624365
20.530696985551717,1257.0873671810102,0.015564083398574107,0.9332458847394796,0.05119003186194637,False,15.516613698895688,-13.4441146243174
20.700011625297677,1255.3303801930467,0.01573376201480474,0.932707701581443,0.0515585364037523,False,-7.426443755146154,19.321967147242272
31.96058600438708,1242.462117323596,0.0270185433040824,0.9287429064733277,0.044238550222589934,False,31.899654584675524,-1.9725858972964776
32.069612101158,1240.7109200008256,0.027127803774771017,0.9282001793680327,0.04467201685719635,False,8.95659713063368,30.793495874263193
40.22460736197538,1083.4994409219923,0.03530032986760625,0.8760656068847533,0.08863406324764045,False,26.98814242591661,-29.82715551009724
40.39778412951529,1082.1970735523892,0.035473878914065275,0.8756028112001083,0.08892330988582642,False,-18.897972482167074,35.70500803302211
47.095526076861745,1069.649338907019,0.042186019029065124,0.8711152300289501,0.08669875094198476,False,43.37118331169644,-18.355626783076318
47.24352338264154,1068.3543401441882,0.04233433448535558,0.8706490922550862,0.08701657325955814,False,-2.514931596387239,47.17653676004303
60.12094939484593,952.351741155608,0.05523944316137793,0.8264212579212291,0.11833929891739292,False,38.45967115293753,-46.21019639587707
60.29487079231844,951.3485170408356,0.055413738438504063,0.8260157001071199,0.11857056145437606,False,-30.369501209187998,52.088048918801945
64.91916585392103,939.3601391872987,0.060047974369148646,0.821135979353847,0.11881604627700437,False,54.842712038717366,-34.73866766885615
65.080265694707,938.3643910648093,0.06020942052702697,0.8207278752176721,0.11906270425530097,False,-13.986460323408163,63.55957764582286
74.92975132882924,926.3732895189971,0.07008007964716503,0.8157790665910704,0.11414085376176464,False,71.2257529244972,-23.26713894183523
75.06937139689485,925.3851099011765,0.07021999985715363,0.8153683852711009,0.11441161487174545,False,2.3965805623716747,75.03110637284378
83.7317598876403,837.6810766770175,0.07890100992555152,0.7770539079045692,0.14404508216987932,False,66.31424076573829,-51.121708554635994
83.89834005617224,836.8921623653221,0.0790679481922624,0.77669134859631,0.14424070321142768,False,-25.45798905042908,79.9426185316027
91.71137962604602,825.5390983154858,0.0868977834903822,0.7714356617289672,0.1416665547806506,False,82.69728165151813,-39.65017982761508
91.86349113337896,824.7573098466818,0.0870502219925444,0.7710710919392076,0.14187868606824794,False,-9.074948164649243,91.41414725862361
102.99280136297871,756.1715290918703,0.09820345695316725,0.7376632986925374,0.16413324435429533,False,77.7857694927592,-67.50474944041582
103.16211487493155,755.5315089978718,0.09837313443918033,0.7373374766299067,0.16428938893091305,False,-36.92951777745,96.32565941738254
109.57867799725123,744.8125765938134,0.1048034912776987,0.7318392657857884,0.16335724293651288,False,94.16881037853904,-56.03322071339491
109.7378306897847,744.1790804288368,0.10496298610153068,0.7315118458708713,0.1635251680275981,False,-20.546476891670167,107.79718814440345
119.19503433724307,733.4747413611763,0.11444051994455627,0.7259368045285638,0.15962267552687992,False,110.55185126431888,-44.56169198637399
119.34136342245773,732.8478200902358,0.11458716359409994,0.725607773500592,0.15980506290530805,False,-4.163436005890333,119.26871687142437
122.49092477121123,689.4136996945031,0.11774349556983346,0.7020984585176194,0.18015804591254714,False,89.25729821978013,-83.88779032619566
122.66178062769198,688.8844138384461,0.11791471871595982,0.70180292925676,0.18028235202728016,False,-48.401046504470926,112.70870030316237
128.07808630026378,678.7670650794638,0.1233426678465431,0.6961097803479505,0.1805475518055064,False,105.64033910555997,-72.41626159917475
128.24149861018978,678.2436850420676,0.12350643144468734,0.6958129644035965,0.18068060415171616,False,-32.018005618691085,124.18022903018328
136.39635526424118,668.1465399721437,0.131678818632793,0.690041458724113,0.178279722643094,False,122.0233799913398,-60.94473287215382
136.54981327273427,667.629102497163,0.13183260653069528,0.6897433479172081,0.17842404555209657,False,-15.63496473291125,135.65175775720422
142.12859026254736,633.7706037183964,0.13742337624388165,0.6697166959229968,0.19285992783312156,False,100.72882694680105,-100.27083121197549
142.30039672482818,633.3258987106948,0.13759555203932988,0.6694466014575995,0.19295784650307057,False,-59.87257523149185,129.09174118894222
146.9711050140481,623.7673432934031,0.14227630097232752,0.663594841807156,0.19412885722051643,False,117.11186783258088,-88.79930248495458
147.13725716851857,623.3279644173865,0.14244281030487305,0.6633237022479369,0.19423348744719005,False,-43.48953434571201,140.56326991596313
154.27402648560658,613.7937752125652,0.14959492156883492,0.6573926293049009,0.19301244912626414,False,133.49490871836073,-77.32777375793366
154.43232170146914,613.3597486930835,0.1497535570726743,0.65712044020791,0.1931260027194157,False,-27.106493459932175,152.03479864298407
161.85501440712798,586.7099335673129,0.15719220637607248,0.6400276689318196,0.20278012469210793,False,112.20035567382196,-116.65387209775533
162.02744640748662,586.3312866104026,0.1573650090543207,0.6397792557989486,0.20285573514673072,False,-71.34410395851278,145.47478207472204
166.12349390668044,577.2867424002321,0.1614698618462644,0.6337973670729651,0.20473277108077048,False,128.5833965596018,-105.18234337073442
166.29149986803966,576.9128982375369,0.16163822897083616,0.6335481010849872,0.2048136699441767,False,-54.961063072732934,156.94631080174298
172.6180314069019,567.8957852477727,0.16797836068457483,0.6274863664892628,0.20453527282616235,False,144.96643744538164,-93.71081464371349
172.7797223848722,567.5267623353386,0.16814039925040788,0.627236246055935,0.2046233546936571,False,-38.5780221869531,168.4178395287639
181.09929405115156,558.537487195128,0.17647785553938503,0.6210926299857982,0.20242951447481683,False,161.3494783311615,-82.23928591669257
